movie_id,genre_id
10991,12
12600,12
15028,12
23305,12
11,12
18,12
22,12
58,12
74,12
81,12
85,12
87,12
89,12
105,12
118,12
120,12
121,12
122,12
128,12
146,12
165,12
173,12
175,12
183,12
196,12
217,12
246,12
253,12
254,12
271,12
285,12
329,12
330,12
331,12
395,12
411,12
421,12
482,12
488,12
494,12
503,12
526,12
530,12
533,12
563,12
564,12
574,12
576,12
580,12
581,12
587,12
604,12
605,12
624,12
630,12
646,12
652,12
658,12
660,12
668,12
671,12
672,12
673,12
674,12
675,12
681,12
682,12
691,12
699,12
700,12
707,12
709,12
710,12
714,12
762,12
767,12
775,12
808,12
809,12
811,12
817,12
830,12
847,12
879,12
941,12
943,12
947,12
954,12
955,12
956,12
962,12
977,12
978,12
983,12
995,12
1059,12
1260,12
1265,12
1273,12
1362,12
1452,12
1534,12
1648,12
1649,12
1685,12
1721,12
1734,12
1735,12
1858,12
1865,12
1878,12
1884,12
1891,12
1892,12
1893,12
1894,12
1911,12
1936,12
1979,12
1994,12
1995,12
1997,12
2000,12
2059,12
2080,12
2102,12
2114,12
2119,12
2157,12
2160,12
2161,12
2172,12
2202,12
2267,12
2268,12
2270,12
2274,12
2286,12
2309,12
2310,12
2312,12
2383,12
2454,12
2493,12
2756,12
2897,12
2963,12
2965,12
2966,12
2981,12
2982,12
2989,12
3003,12
3031,12
3483,12
3484,12
3513,12
3593,12
3598,12
3716,12
4279,12
4283,12
4442,12
4476,12
4538,12
4628,12
4688,12
4822,12
4933,12
5052,12
5086,12
5147,12
5172,12
5185,12
5255,12
5494,12
5503,12
5683,12
5769,12
5889,12
5915,12
5925,12
6116,12
6264,12
6278,12
6312,12
6646,12
6878,12
6962,12
6974,12
7085,12
7096,12
7453,12
7484,12
7512,12
7840,12
8009,12
8014,12
8053,12
8054,12
8204,12
8247,12
8326,12
8358,12
8367,12
8584,12
8592,12
8619,12
8689,12
8690,12
8691,12
8697,12
8779,12
8810,12
8814,12
8844,12
8850,12
8856,12
8915,12
8916,12
8961,12
8966,12
9013,12
9016,12
9031,12
9036,12
9053,12
9073,12
9096,12
9266,12
9290,12
9340,12
9354,12
9360,12
9387,12
9392,12
9396,12
9447,12
9449,12
9457,12
9476,12
9477,12
9486,12
9487,12
9502,12
9510,12
9520,12
9543,12
9547,12
9550,12
9555,12
9570,12
9593,12
9607,12
9610,12
9626,12
9627,12
9629,12
9651,12
9659,12
9662,12
9671,12
9683,12
9795,12
9804,12
9810,12
9824,12
9826,12
9837,12
9872,12
9886,12
9896,12
9948,12
9952,12
9973,12
9975,12
9978,12
9992,12
10009,12
10010,12
10047,12
10107,12
10138,12
10140,12
10159,12
10166,12
10188,12
10195,12
10199,12
10243,12
10257,12
10304,12
10315,12
10323,12
10326,12
10339,12
10372,12
10380,12
10386,12
10448,12
10488,12
10501,12
10515,12
10530,12
10539,12
10586,12
10601,12
10603,12
10604,12
10643,12
10714,12
10730,12
10764,12
10798,12
10803,12
10837,12
10847,12
10948,12
10949,12
10951,12
10973,12
10974,12
11002,12
11008,12
11040,12
11046,12
11052,12
11085,12
11111,12
11120,12
11127,12
11135,12
11158,12
11176,12
11231,12
11237,12
11238,12
11243,12
11253,12
11259,12
11291,12
11331,12
11342,12
11358,12
11359,12
11372,12
11416,12
11418,12
11425,12
11459,12
11469,12
11479,12
11483,12
11484,12
11513,12
11533,12
11571,12
11575,12
11589,12
11616,12
11619,12
11637,12
11646,12
11688,12
11767,12
11774,12
11780,12
11799,12
11828,12
11837,12
11884,12
11888,12
11943,12
11976,12
12097,12
12127,12
12208,12
12230,12
12289,12
12311,12
12335,12
12444,12
12448,12
12599,12
12609,12
12610,12
12638,12
12646,12
12701,12
12716,12
12717,12
12775,12
12837,12
12914,12
13001,12
13155,12
13394,12
13519,12
13532,12
13597,12
13600,12
13637,12
13678,12
13679,12
13690,12
13761,12
13798,12
13836,12
13853,12
13888,12
13932,12
13956,12
13965,12
13980,12
14064,12
14075,12
14120,12
14138,12
14199,12
14301,12
14324,12
14372,12
14400,12
14405,12
14443,12
14499,12
14597,12
14611,12
14784,12
14821,12
14822,12
14869,12
15119,12
15138,12
15170,12
15227,12
15283,12
15370,12
15371,12
15494,12
15511,12
15587,12
15657,12
15875,12
15907,12
16061,12
16081,12
16124,12
16174,12
16176,12
16266,12
16284,12
16305,12
16340,12
16353,12
16436,12
16515,12
16690,12
16692,12
16693,12
16791,12
16820,12
16905,12
17031,12
17264,12
17266,12
17288,12
17379,12
17381,12
17414,12
17578,12
17653,12
17800,12
17811,12
17832,12
17834,12
17895,12
18032,12
18061,12
18118,12
18162,12
18202,12
18229,12
18239,12
18357,12
18360,12
18444,12
18497,12
18519,12
18635,12
18790,12
18817,12
18819,12
18823,12
18828,12
18885,12
18887,12
18978,12
18979,12
19016,12
19127,12
19199,12
19306,12
19350,12
19400,12
19568,12
19606,12
19666,12
19736,12
19893,12
19975,12
20171,12
20177,12
20312,12
20408,12
20471,12
20526,12
20542,12
20766,12
20856,12
20873,12
20878,12
20879,12
20891,12
20898,12
21138,12
21250,12
21290,12
21385,12
21393,12
21533,12
21683,12
21712,12
21735,12
21736,12
21755,12
21775,12
21793,12
22102,12
22359,12
22376,12
22434,12
22611,12
22660,12
22734,12
22937,12
23047,12
23069,12
23253,12
23340,12
23685,12
23728,12
23759,12
23832,12
24016,12
24021,12
24099,12
24102,12
24248,12
24365,12
24418,12
24442,12
24444,12
24554,12
24569,12
24671,12
24750,12
24756,12
24767,12
24793,12
24825,12
24833,12
24886,12
24961,12
24962,12
25009,12
25059,12
25172,12
25360,12
25361,12
25379,12
25386,12
25587,12
25848,12
25961,12
26235,12
26258,12
26259,12
26264,12
26266,12
26282,12
26325,12
26357,12
26398,12
26428,12
26505,12
26574,12
26612,12
26643,12
26652,12
26736,12
26787,12
26813,12
26842,12
26883,12
26910,12
26947,12
26978,12
27085,12
27190,12
27275,12
27294,12
27295,12
27380,12
27408,12
27418,12
27472,12
27591,12
27653,12
27679,12
27725,12
27850,12
27906,12
27934,12
28058,12
28138,12
28324,12
28426,12
28431,12
28440,12
28482,12
28510,12
28512,12
28567,12
28638,12
28678,12
28681,12
28758,12
28761,12
28778,12
28967,12
28981,12
29066,12
29339,12
29377,12
29570,12
29584,12
29742,12
29903,12
29924,12
29967,12
30060,12
30114,12
30117,12
30126,12
